date,units_sold
2011-05-26,4065.0
2011-05-27,4451.0
2011-05-28,5459.0
2011-05-29,5488.0
2011-05-30,4956.0
2011-05-31,3925.0
2011-06-01,5057.0
2011-06-02,4688.0
2011-06-03,5841.0
2011-06-04,6603.0
2011-06-05,6787.0
2011-06-06,5459.0
2011-06-07,5272.0
2011-06-08,5040.0
2011-06-09,5233.0
2011-06-10,5683.0
2011-06-11,6417.0
2011-06-12,6568.0
2011-06-13,5746.0
2011-06-14,5068.0
2011-06-15,5026.0
2011-06-16,4537.0
2011-06-17,5250.0
2011-06-18,6477.0
2011-06-19,5658.0
2011-06-20,5243.0
2011-06-21,4995.0
2011-06-22,4117.0
2011-06-23,4765.0
2011-06-24,5228.0
2011-06-25,5844.0
2011-06-26,6399.0
2011-06-27,5063.0
2011-06-28,4004.0
2011-06-29,3894.0
2011-06-30,4359.0
2011-07-01,6736.0
2011-07-02,7016.0
2011-07-03,6605.0
2011-07-04,4954.0
2011-07-05,5600.0
2011-07-06,6020.0
2011-07-07,6056.0
2011-07-08,5672.0
2011-07-09,6844.0
2011-07-10,7083.0
2011-07-11,5414.0
2011-07-12,4832.0
2011-07-13,5040.0
2011-07-14,4526.0
2011-07-15,5605.0
2011-07-16,6435.0
2011-07-17,6489.0
2011-07-18,5249.0
2011-07-19,4490.0
2011-07-20,4448.0
2011-07-21,4536.0
2011-07-22,5347.0
2011-07-23,6424.0
2011-07-24,6414.0
2011-07-25,4862.0
2011-07-26,4305.0
2011-07-27,4180.0
2011-07-28,4420.0
2011-07-29,5027.0
2011-07-30,5266.0
2011-07-31,6118.0
2011-08-01,5495.0
2011-08-02,5228.0
2011-08-03,5569.0
2011-08-04,5212.0
2011-08-05,6020.0
2011-08-06,7133.0
2011-08-07,7174.0
2011-08-08,5614.0
2011-08-09,5382.0
2011-08-10,4818.0
2011-08-11,5103.0
2011-08-12,6102.0
2011-08-13,7713.0
2011-08-14,7425.0
2011-08-15,5641.0
2011-08-16,5129.0
2011-08-17,5007.0
2011-08-18,4882.0
2011-08-19,5672.0
2011-08-20,7068.0
2011-08-21,8344.0
2011-08-22,5273.0
2011-08-23,4342.0
2011-08-24,4469.0
2011-08-25,4360.0
2011-08-26,4887.0
2011-08-27,6635.0
2011-08-28,6762.0
2011-08-29,4406.0
2011-08-30,3947.0
2011-08-31,4060.0
2011-09-01,5599.0
2011-09-02,5797.0
2011-09-03,7565.0
2011-09-04,6172.0
2011-09-05,6367.0
2011-09-06,5289.0
2011-09-07,5202.0
2011-09-08,4943.0
2011-09-09,5857.0
2011-09-10,6958.0
2011-09-11,7425.0
2011-09-12,5270.0
2011-09-13,5087.0
2011-09-14,4358.0
2011-09-15,5111.0
2011-09-16,5363.0
2011-09-17,6599.0
2011-09-18,6657.0
2011-09-19,4841.0
2011-09-20,4633.0
2011-09-21,4346.0
2011-09-22,4277.0
2011-09-23,5576.0
2011-09-24,6894.0
2011-09-25,7170.0
2011-09-26,5065.0
2011-09-27,4506.0
2011-09-28,4332.0
2011-09-29,4307.0
2011-09-30,6231.0
2011-10-01,8841.0
2011-10-02,8009.0
2011-10-03,6080.0
2011-10-04,5318.0
2011-10-05,5431.0
2011-10-06,5033.0
2011-10-07,6289.0
2011-10-08,7595.0
2011-10-09,7587.0
2011-10-10,6079.0
2011-10-11,5459.0
2011-10-12,5220.0
2011-10-13,5353.0
2011-10-14,5810.0
2011-10-15,7760.0
2011-10-16,7719.0
2011-10-17,5376.0
2011-10-18,4719.0
2011-10-19,4520.0
2011-10-20,4518.0
2011-10-21,5648.0
2011-10-22,7032.0
2011-10-23,7202.0
2011-10-24,4925.0
2011-10-25,4439.0
2011-10-26,4364.0
2011-10-27,4581.0
2011-10-28,5396.0
2011-10-29,6962.0
2011-10-30,6923.0
2011-10-31,4397.0
2011-11-01,5351.0
2011-11-02,4986.0
2011-11-03,5184.0
2011-11-04,5738.0
2011-11-05,7871.0
2011-11-06,8137.0
2011-11-07,5909.0
2011-11-08,5307.0
2011-11-09,5120.0
2011-11-10,5275.0
2011-11-11,6118.0
2011-11-12,7541.0
2011-11-13,7614.0
2011-11-14,5469.0
2011-11-15,5178.0
2011-11-16,4566.0
2011-11-17,4515.0
2011-11-18,5216.0
2011-11-19,7324.0
2011-11-20,7316.0
2011-11-21,5252.0
2011-11-22,5819.0
2011-11-23,6681.0
2011-11-24,4209.0
2011-11-25,5158.0
2011-11-26,4986.0
2011-11-27,5662.0
2011-11-28,4436.0
2011-11-29,4406.0
2011-11-30,4252.0
2011-12-01,5060.0
2011-12-02,5745.0
2011-12-03,8071.0
2011-12-04,7552.0
2011-12-05,5831.0
2011-12-06,5299.0
2011-12-07,5214.0
2011-12-08,5253.0
2011-12-09,6052.0
2011-12-10,7246.0
2011-12-11,7901.0
2011-12-12,5877.0
2011-12-13,5517.0
2011-12-14,5367.0
2011-12-15,5950.0
2011-12-16,5962.0
2011-12-17,7574.0
2011-12-18,6912.0
2011-12-19,5541.0
2011-12-20,5452.0
2011-12-21,5777.0
2011-12-22,6000.0
2011-12-23,7615.0
2011-12-24,6495.0
2011-12-25,0.0
2011-12-26,6101.0
2011-12-27,5198.0
2011-12-28,5216.0
2011-12-29,5323.0
2011-12-30,7300.0
2011-12-31,7169.0
2012-01-01,5068.0
2012-01-02,6676.0
2012-01-03,5936.0
2012-01-04,5507.0
2012-01-05,5914.0
2012-01-06,6753.0
2012-01-07,8069.0
2012-01-08,7977.0
2012-01-09,5767.0
2012-01-10,5501.0
2012-01-11,5544.0
2012-01-12,4932.0
2012-01-13,6364.0
2012-01-14,7247.0
2012-01-15,7472.0
2012-01-16,6439.0
2012-01-17,4698.0
2012-01-18,4856.0
2012-01-19,4949.0
2012-01-20,5533.0
2012-01-21,8284.0
2012-01-22,6843.0
2012-01-23,4801.0
2012-01-24,4361.0
2012-01-25,4199.0
2012-01-26,4598.0
2012-01-27,5739.0
2012-01-28,6963.0
2012-01-29,7068.0
2012-01-30,5095.0
2012-01-31,4874.0
2012-02-01,6115.0
2012-02-02,5677.0
2012-02-03,7121.0
2012-02-04,9148.0
2012-02-05,8567.0
2012-02-06,6180.0
2012-02-07,5694.0
2012-02-08,5401.0
2012-02-09,5562.0
2012-02-10,5769.0
2012-02-11,8644.0
2012-02-12,8894.0
2012-02-13,6575.0
2012-02-14,4962.0
2012-02-15,5126.0
2012-02-16,4962.0
2012-02-17,5355.0
2012-02-18,7420.0
2012-02-19,8022.0
2012-02-20,6513.0
2012-02-21,4961.0
2012-02-22,5004.0
2012-02-23,5199.0
2012-02-24,5808.0
2012-02-25,7549.0
2012-02-26,7664.0
2012-02-27,5320.0
2012-02-28,4864.0
2012-02-29,5070.0
2012-03-01,6334.0
2012-03-02,6699.0
2012-03-03,8284.0
2012-03-04,8636.0
2012-03-05,6703.0
2012-03-06,5964.0
2012-03-07,5903.0
2012-03-08,5846.0
2012-03-09,6255.0
2012-03-10,8704.0
2012-03-11,8902.0
2012-03-12,6904.0
2012-03-13,5833.0
2012-03-14,5647.0
2012-03-15,6166.0
2012-03-16,6701.0
2012-03-17,7700.0
2012-03-18,8565.0
2012-03-19,6127.0
2012-03-20,5298.0
2012-03-21,5218.0
2012-03-22,5492.0
2012-03-23,6001.0
2012-03-24,8314.0
2012-03-25,8623.0
2012-03-26,5647.0
2012-03-27,5064.0
2012-03-28,4929.0
2012-03-29,4748.0
2012-03-30,6837.0
2012-03-31,7858.0
2012-04-01,9108.0
2012-04-02,6267.0
2012-04-03,7354.0
2012-04-04,5987.0
2012-04-05,6957.0
2012-04-06,8670.0
2012-04-07,10342.0
2012-04-08,8254.0
2012-04-09,6770.0
2012-04-10,6342.0
2012-04-11,6193.0
2012-04-12,6062.0
2012-04-13,7267.0
2012-04-14,8643.0
2012-04-15,8943.0
2012-04-16,5912.0
2012-04-17,5561.0
2012-04-18,5142.0
2012-04-19,5743.0
2012-04-20,6257.0
2012-04-21,8264.0
2012-04-22,8779.0
2012-04-23,5757.0
2012-04-24,5667.0
2012-04-25,5386.0
2012-04-26,5382.0
2012-04-27,6246.0
2012-04-28,8287.0
2012-04-29,8346.0
2012-04-30,6001.0
2012-05-01,6707.0
2012-05-02,6130.0
2012-05-03,7011.0
2012-05-04,7083.0
2012-05-05,8611.0
2012-05-06,10124.0
2012-05-07,7715.0
2012-05-08,6169.0
2012-05-09,6055.0
2012-05-10,6301.0
2012-05-11,7128.0
2012-05-12,9260.0
2012-05-13,8041.0
2012-05-14,6280.0
2012-05-15,6303.0
2012-05-16,6146.0
2012-05-17,5760.0
2012-05-18,6830.0
2012-05-19,8288.0
2012-05-20,9368.0
2012-05-21,6124.0
2012-05-22,5283.0
2012-05-23,5292.0
2012-05-24,5980.0
2012-05-25,6752.0
2012-05-26,8144.0
2012-05-27,8072.0
2012-05-28,7414.0
2012-05-29,6085.0
2012-05-30,5555.0
2012-05-31,5804.0
2012-06-01,8144.0
2012-06-02,9278.0
2012-06-03,9243.0
2012-06-04,6972.0
2012-06-05,6744.0
2012-06-06,6691.0
2012-06-07,6778.0
2012-06-08,7383.0
2012-06-09,8461.0
2012-06-10,9545.0
2012-06-11,7807.0
2012-06-12,7041.0
2012-06-13,6669.0
2012-06-14,6587.0
2012-06-15,8505.0
2012-06-16,9245.0
2012-06-17,8389.0
2012-06-18,7010.0
2012-06-19,6064.0
2012-06-20,6179.0
2012-06-21,6253.0
2012-06-22,7836.0
2012-06-23,8321.0
2012-06-24,8873.0
2012-06-25,6590.0
2012-06-26,5708.0
2012-06-27,5759.0
2012-06-28,5630.0
2012-06-29,7202.0
2012-06-30,8431.0
2012-07-01,9579.0
2012-07-02,6860.0
2012-07-03,7864.0
2012-07-04,6410.0
2012-07-05,6145.0
2012-07-06,7807.0
2012-07-07,8768.0
2012-07-08,8959.0
2012-07-09,7208.0
2012-07-10,6364.0
2012-07-11,6537.0
2012-07-12,6550.0
2012-07-13,7564.0
2012-07-14,8453.0
2012-07-15,9032.0
2012-07-16,6256.0
2012-07-17,6172.0
2012-07-18,5643.0
2012-07-19,6047.0
2012-07-20,7357.0
2012-07-21,8301.0
2012-07-22,8971.0
2012-07-23,6018.0
2012-07-24,5621.0
2012-07-25,5350.0
2012-07-26,5940.0
2012-07-27,6328.0
2012-07-28,6809.0
2012-07-29,7463.0
2012-07-30,5975.0
2012-07-31,5703.0
2012-08-01,6839.0
2012-08-02,6996.0
2012-08-03,7667.0
2012-08-04,8764.0
2012-08-05,9046.0
2012-08-06,7629.0
2012-08-07,6697.0
2012-08-08,6603.0
2012-08-09,6672.0
2012-08-10,7276.0
2012-08-11,9319.0
2012-08-12,9729.0
2012-08-13,7318.0
2012-08-14,6524.0
2012-08-15,6839.0
2012-08-16,7045.0
2012-08-17,7332.0
2012-08-18,9158.0
2012-08-19,9751.0
2012-08-20,6741.0
2012-08-21,6275.0
2012-08-22,5941.0
2012-08-23,5923.0
2012-08-24,6338.0
2012-08-25,8657.0
2012-08-26,9395.0
2012-08-27,6190.0
2012-08-28,5690.0
2012-08-29,5101.0
2012-08-30,5613.0
2012-08-31,6981.0
2012-09-01,10302.0
2012-09-02,9100.0
2012-09-03,9237.0
2012-09-04,6588.0
2012-09-05,6322.0
2012-09-06,6278.0
2012-09-07,7292.0
2012-09-08,8445.0
2012-09-09,9783.0
2012-09-10,6481.0
2012-09-11,6171.0
2012-09-12,5931.0
2012-09-13,6120.0
2012-09-14,7007.0
2012-09-15,9186.0
2012-09-16,9160.0
2012-09-17,6502.0
2012-09-18,5817.0
2012-09-19,5627.0
2012-09-20,5689.0
2012-09-21,6955.0
2012-09-22,8779.0
2012-09-23,9303.0
2012-09-24,5669.0
2012-09-25,5444.0
2012-09-26,5256.0
2012-09-27,5041.0
2012-09-28,6513.0
2012-09-29,8154.0
2012-09-30,8717.0
2012-10-01,7189.0
2012-10-02,6417.0
2012-10-03,6486.0
2012-10-04,5839.0
2012-10-05,6616.0
2012-10-06,8867.0
2012-10-07,9581.0
2012-10-08,6898.0
2012-10-09,6074.0
2012-10-10,5727.0
2012-10-11,5845.0
2012-10-12,6844.0
2012-10-13,8331.0
2012-10-14,8702.0
2012-10-15,6711.0
2012-10-16,5296.0
2012-10-17,5402.0
2012-10-18,5367.0
2012-10-19,5872.0
2012-10-20,7718.0
2012-10-21,8035.0
2012-10-22,5613.0
2012-10-23,5169.0
2012-10-24,4925.0
2012-10-25,4873.0
2012-10-26,5687.0
2012-10-27,7295.0
2012-10-28,7792.0
2012-10-29,5434.0
2012-10-30,5129.0
2012-10-31,4525.0
2012-11-01,5855.0
2012-11-02,6518.0
2012-11-03,8200.0
2012-11-04,8753.0
2012-11-05,6476.0
2012-11-06,5561.0
2012-11-07,5860.0
2012-11-08,5607.0
2012-11-09,6894.0
2012-11-10,8380.0
2012-11-11,8544.0
2012-11-12,6323.0
2012-11-13,5443.0
2012-11-14,4834.0
2012-11-15,5714.0
2012-11-16,6297.0
2012-11-17,8187.0
2012-11-18,7603.0
2012-11-19,5950.0
2012-11-20,6211.0
2012-11-21,7509.0
2012-11-22,4856.0
2012-11-23,4528.0
2012-11-24,5774.0
2012-11-25,6574.0
2012-11-26,5218.0
2012-11-27,4675.0
2012-11-28,4325.0
2012-11-29,4269.0
2012-11-30,5596.0
2012-12-01,8749.0
2012-12-02,7710.0
2012-12-03,6701.0
2012-12-04,5226.0
2012-12-05,5516.0
2012-12-06,5971.0
2012-12-07,6914.0
2012-12-08,8410.0
2012-12-09,8464.0
2012-12-10,6215.0
2012-12-11,5411.0
2012-12-12,5584.0
2012-12-13,5623.0
2012-12-14,6184.0
2012-12-15,8123.0
2012-12-16,8094.0
2012-12-17,6036.0
2012-12-18,5991.0
2012-12-19,5651.0
2012-12-20,6185.0
2012-12-21,6565.0
2012-12-22,7889.0
2012-12-23,8050.0
2012-12-24,6487.0
2012-12-25,0.0
2012-12-26,5815.0
2012-12-27,5414.0
2012-12-28,6194.0
2012-12-29,7035.0
2012-12-30,7638.0
2012-12-31,6816.0
2013-01-01,4914.0
2013-01-02,5869.0
2013-01-03,6753.0
2013-01-04,6706.0
2013-01-05,8151.0
2013-01-06,8363.0
2013-01-07,6823.0
2013-01-08,5663.0
2013-01-09,5101.0
2013-01-10,5856.0
2013-01-11,6499.0
2013-01-12,8313.0
2013-01-13,8216.0
2013-01-14,5330.0
2013-01-15,5389.0
2013-01-16,5053.0
2013-01-17,5016.0
2013-01-18,6344.0
2013-01-19,8101.0
2013-01-20,7589.0
2013-01-21,6228.0
2013-01-22,4955.0
2013-01-23,4870.0
2013-01-24,4890.0
2013-01-25,5699.0
2013-01-26,8048.0
2013-01-27,7767.0
2013-01-28,5625.0
2013-01-29,4852.0
2013-01-30,4404.0
2013-01-31,5197.0
2013-02-01,7882.0
2013-02-02,10006.0
2013-02-03,7976.0
2013-02-04,5383.0
2013-02-05,5801.0
2013-02-06,5772.0
2013-02-07,6098.0
2013-02-08,6843.0
2013-02-09,9017.0
2013-02-10,9518.0
2013-02-11,6857.0
2013-02-12,5983.0
2013-02-13,6997.0
2013-02-14,5345.0
2013-02-15,7343.0
2013-02-16,8787.0
2013-02-17,8887.0
2013-02-18,7056.0
2013-02-19,5550.0
2013-02-20,5973.0
2013-02-21,6280.0
2013-02-22,6874.0
2013-02-23,8394.0
2013-02-24,8774.0
2013-02-25,6117.0
2013-02-26,5420.0
2013-02-27,5585.0
2013-02-28,5586.0
2013-03-01,7408.0
2013-03-02,9506.0
2013-03-03,9805.0
2013-03-04,6719.0
2013-03-05,5964.0
2013-03-06,5994.0
2013-03-07,5900.0
2013-03-08,5686.0
2013-03-09,8628.0
2013-03-10,8712.0
2013-03-11,6950.0
2013-03-12,6258.0
2013-03-13,5786.0
2013-03-14,5932.0
2013-03-15,6913.0
2013-03-16,8426.0
2013-03-17,8591.0
2013-03-18,5832.0
2013-03-19,5406.0
2013-03-20,5728.0
2013-03-21,5719.0
2013-03-22,6809.0
2013-03-23,8141.0
2013-03-24,8244.0
2013-03-25,5801.0
2013-03-26,5488.0
2013-03-27,5322.0
2013-03-28,6049.0
2013-03-29,7790.0
2013-03-30,9728.0
2013-03-31,8268.0
2013-04-01,6572.0
2013-04-02,6218.0
2013-04-03,6147.0
2013-04-04,6958.0
2013-04-05,7330.0
2013-04-06,9217.0
2013-04-07,9957.0
2013-04-08,6736.0
2013-04-09,6688.0
2013-04-10,6262.0
2013-04-11,6255.0
2013-04-12,6719.0
2013-04-13,8719.0
2013-04-14,9143.0
2013-04-15,6819.0
2013-04-16,5654.0
2013-04-17,5572.0
2013-04-18,5406.0
2013-04-19,6532.0
2013-04-20,8426.0
2013-04-21,8565.0
2013-04-22,6285.0
2013-04-23,5641.0
2013-04-24,5543.0
2013-04-25,5474.0
2013-04-26,6606.0
2013-04-27,6976.0
2013-04-28,8672.0
2013-04-29,5715.0
2013-04-30,5665.0
2013-05-01,6341.0
2013-05-02,5928.0
2013-05-03,7271.0
2013-05-04,8436.0
2013-05-05,9355.0
2013-05-06,7003.0
2013-05-07,6507.0
2013-05-08,6348.0
2013-05-09,6373.0
2013-05-10,6657.0
2013-05-11,9498.0
2013-05-12,8188.0
2013-05-13,7150.0
2013-05-14,6158.0
2013-05-15,6746.0
2013-05-16,6682.0
2013-05-17,7230.0
2013-05-18,8611.0
2013-05-19,9638.0
2013-05-20,7077.0
2013-05-21,6247.0
2013-05-22,6018.0
2013-05-23,6097.0
2013-05-24,7153.0
2013-05-25,8239.0
2013-05-26,7817.0
2013-05-27,7627.0
2013-05-28,5844.0
2013-05-29,5332.0
2013-05-30,5993.0
2013-05-31,7093.0
2013-06-01,9636.0
2013-06-02,9490.0
2013-06-03,7748.0
2013-06-04,6663.0
2013-06-05,7879.0
2013-06-06,6029.0
2013-06-07,7960.0
2013-06-08,9486.0
2013-06-09,9857.0
2013-06-10,7850.0
2013-06-11,6992.0
2013-06-12,6818.0
2013-06-13,7116.0
2013-06-14,7950.0
2013-06-15,9659.0
2013-06-16,8792.0
2013-06-17,6833.0
2013-06-18,6540.0
2013-06-19,6081.0
2013-06-20,6580.0
2013-06-21,7790.0
2013-06-22,9012.0
2013-06-23,9588.0
2013-06-24,7036.0
2013-06-25,6369.0
2013-06-26,6229.0
2013-06-27,6348.0
2013-06-28,7765.0
2013-06-29,9005.0
2013-06-30,9867.0
2013-07-01,8307.0
2013-07-02,7562.0
2013-07-03,8434.0
2013-07-04,7932.0
2013-07-05,8413.0
2013-07-06,8509.0
2013-07-07,10076.0
2013-07-08,7333.0
2013-07-09,7133.0
2013-07-10,6890.0
2013-07-11,7061.0
2013-07-12,8595.0
2013-07-13,9531.0
2013-07-14,10121.0
2013-07-15,7326.0
2013-07-16,6436.0
2013-07-17,6302.0
2013-07-18,6474.0
2013-07-19,7230.0
2013-07-20,8657.0
2013-07-21,9319.0
2013-07-22,6556.0
2013-07-23,6537.0
2013-07-24,6331.0
2013-07-25,6119.0
2013-07-26,7062.0
2013-07-27,8019.0
2013-07-28,8993.0
2013-07-29,6808.0
2013-07-30,6232.0
2013-07-31,6084.0
2013-08-01,7858.0
2013-08-02,8560.0
2013-08-03,9793.0
2013-08-04,9468.0
2013-08-05,8107.0
2013-08-06,7302.0
2013-08-07,7668.0
2013-08-08,7078.0
2013-08-09,8205.0
2013-08-10,10043.0
2013-08-11,10494.0
2013-08-12,7792.0
2013-08-13,6983.0
2013-08-14,6433.0
2013-08-15,7204.0
2013-08-16,6963.0
2013-08-17,9365.0
2013-08-18,9512.0
2013-08-19,6853.0
2013-08-20,6236.0
2013-08-21,7229.0
2013-08-22,6705.0
2013-08-23,7579.0
2013-08-24,9708.0
2013-08-25,11406.0
2013-08-26,6604.0
2013-08-27,6154.0
2013-08-28,6288.0
2013-08-29,6243.0
2013-08-30,8615.0
2013-08-31,10402.0
2013-09-01,10345.0
2013-09-02,9522.0
2013-09-03,7147.0
2013-09-04,6464.0
2013-09-05,6877.0
2013-09-06,7791.0
2013-09-07,10051.0
2013-09-08,10943.0
2013-09-09,7869.0
2013-09-10,6993.0
2013-09-11,6617.0
2013-09-12,7053.0
2013-09-13,7924.0
2013-09-14,10087.0
2013-09-15,10397.0
2013-09-16,7289.0
2013-09-17,6442.0
2013-09-18,6138.0
2013-09-19,6266.0
2013-09-20,7349.0
2013-09-21,9777.0
2013-09-22,10306.0
2013-09-23,6797.0
2013-09-24,6325.0
2013-09-25,5847.0
2013-09-26,6233.0
2013-09-27,6847.0
2013-09-28,9192.0
2013-09-29,10102.0
2013-09-30,6749.0
2013-10-01,7580.0
2013-10-02,6058.0
2013-10-03,7150.0
2013-10-04,7589.0
2013-10-05,9794.0
2013-10-06,10175.0
2013-10-07,7666.0
2013-10-08,6824.0
2013-10-09,6848.0
2013-10-10,6976.0
2013-10-11,7504.0
2013-10-12,9431.0
2013-10-13,10061.0
2013-10-14,7329.0
2013-10-15,6075.0
2013-10-16,5928.0
2013-10-17,6033.0
2013-10-18,7007.0
2013-10-19,8609.0
2013-10-20,9670.0
2013-10-21,6563.0
2013-10-22,5660.0
2013-10-23,5771.0
2013-10-24,5511.0
2013-10-25,6465.0
2013-10-26,8770.0
2013-10-27,9158.0
2013-10-28,6600.0
2013-10-29,5804.0
2013-10-30,6344.0
2013-10-31,5255.0
2013-11-01,7603.0
2013-11-02,9044.0
2013-11-03,10163.0
2013-11-04,6491.0
2013-11-05,6869.0
2013-11-06,6168.0
2013-11-07,6268.0
2013-11-08,6746.0
2013-11-09,8815.0
2013-11-10,9607.0
2013-11-11,7450.0
2013-11-12,6123.0
2013-11-13,5784.0
2013-11-14,5601.0
2013-11-15,6609.0
2013-11-16,9007.0
2013-11-17,9416.0
2013-11-18,6458.0
2013-11-19,5472.0
2013-11-20,5374.0
2013-11-21,5533.0
2013-11-22,6320.0
2013-11-23,8231.0
2013-11-24,8398.0
2013-11-25,6218.0
2013-11-26,6605.0
2013-11-27,7542.0
2013-11-28,4555.0
2013-11-29,4846.0
2013-11-30,5852.0
2013-12-01,8399.0
2013-12-02,7400.0
2013-12-03,7271.0
2013-12-04,6196.0
2013-12-05,6851.0
2013-12-06,7238.0
2013-12-07,9526.0
2013-12-08,9108.0
2013-12-09,6631.0
2013-12-10,6816.0
2013-12-11,5979.0
2013-12-12,6077.0
2013-12-13,6911.0
2013-12-14,8667.0
2013-12-15,9243.0
2013-12-16,6839.0
2013-12-17,6001.0
2013-12-18,6282.0
2013-12-19,7018.0
2013-12-20,6630.0
2013-12-21,8345.0
2013-12-22,8715.0
2013-12-23,7600.0
2013-12-24,6187.0
2013-12-25,1.0
2013-12-26,6302.0
2013-12-27,6786.0
2013-12-28,7687.0
2013-12-29,7120.0
2013-12-30,6837.0
2013-12-31,6812.0
2014-01-01,5190.0
2014-01-02,6938.0
2014-01-03,7523.0
2014-01-04,8240.0
2014-01-05,9152.0
2014-01-06,7166.0
2014-01-07,6864.0
2014-01-08,6180.0
2014-01-09,5978.0
2014-01-10,6653.0
2014-01-11,9295.0
2014-01-12,9137.0
2014-01-13,6672.0
2014-01-14,5723.0
2014-01-15,5837.0
2014-01-16,5775.0
2014-01-17,6833.0
2014-01-18,8826.0
2014-01-19,8711.0
2014-01-20,6854.0
2014-01-21,5476.0
2014-01-22,5364.0
2014-01-23,4901.0
2014-01-24,6223.0
2014-01-25,7730.0
2014-01-26,8808.0
2014-01-27,6288.0
2014-01-28,4703.0
2014-01-29,4754.0
2014-01-30,5158.0
2014-01-31,7005.0
2014-02-01,10212.0
2014-02-02,8397.0
2014-02-03,6812.0
2014-02-04,5670.0
2014-02-05,5935.0
2014-02-06,6045.0
2014-02-07,7055.0
2014-02-08,9137.0
2014-02-09,9827.0
2014-02-10,6899.0
2014-02-11,6396.0
2014-02-12,6755.0
2014-02-13,7577.0
2014-02-14,6717.0
2014-02-15,8808.0
2014-02-16,9130.0
2014-02-17,7143.0
2014-02-18,5518.0
2014-02-19,5417.0
2014-02-20,5408.0
2014-02-21,6656.0
2014-02-22,8134.0
2014-02-23,9154.0
2014-02-24,6305.0
2014-02-25,5771.0
2014-02-26,5104.0
2014-02-27,5644.0
2014-02-28,6312.0
2014-03-01,9558.0
2014-03-02,9229.0
2014-03-03,6788.0
2014-03-04,5594.0
2014-03-05,5843.0
2014-03-06,6167.0
2014-03-07,7010.0
2014-03-08,8532.0
2014-03-09,10384.0
2014-03-10,7403.0
2014-03-11,6376.0
2014-03-12,6464.0
2014-03-13,6328.0
2014-03-14,7003.0
2014-03-15,9191.0
2014-03-16,9313.0
2014-03-17,6431.0
2014-03-18,5967.0
2014-03-19,5684.0
2014-03-20,5822.0
2014-03-21,6731.0
2014-03-22,8676.0
2014-03-23,9410.0
2014-03-24,6670.0
2014-03-25,5852.0
2014-03-26,5266.0
2014-03-27,5876.0
2014-03-28,6451.0
2014-03-29,8414.0
2014-03-30,9686.0
2014-03-31,6390.0
2014-04-01,6935.0
2014-04-02,6709.0
2014-04-03,6907.0
2014-04-04,7361.0
2014-04-05,9547.0
2014-04-06,10663.0
2014-04-07,7748.0
